"Time","203042","","203042","","203042","","203042","","203042","","203042",""
"and","10.00","","130.00","","136.00","","422.00","","459.00","","700.00",""
"Date","Rainfall (mm)","","Res. Level (m)","","Volume (ML)","","Net Inflow 24h ML","","Storage Rel 24h ML","","Evap.[US] (mm.)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Total","Qual","Total","Qual","Total","Qual"
00:00:00 18/03/2010,"",    255,     129.703,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/03/2010,"",    255,     129.698,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/03/2010,"",    255,     129.690,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/03/2010,"",    255,     129.682,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/03/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/03/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/03/2010,"",    255,     129.677,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/03/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/03/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/03/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/03/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/03/2010,"",    255,     129.669,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/03/2010,"",    255,     129.691,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 31/03/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/04/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/04/2010,"",    255,     129.674,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/04/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/04/2010,"",    255,     129.661,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/04/2010,"",    255,     129.659,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/04/2010,"",    255,     129.657,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/04/2010,"",    255,     129.654,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/04/2010,"",    255,     129.652,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/04/2010,"",    255,     129.654,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 18/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/04/2010,"",    255,     129.668,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/04/2010,"",    255,     129.680,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/04/2010,"",    255,     129.677,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/04/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/04/2010,"",    255,     129.661,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/04/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/04/2010,"",    255,     129.657,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/04/2010,"",    255,     129.653,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/04/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/05/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/05/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/05/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/05/2010,"",    255,     129.675,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/05/2010,"",    255,     129.685,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/05/2010,"",    255,     129.668,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/05/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/05/2010,"",    255,     129.659,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/05/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/05/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/05/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/05/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/05/2010,"",    255,     129.659,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/05/2010,"",    255,     129.656,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/05/2010,"",    255,     129.653,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/05/2010,"",    255,     129.652,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/05/2010,"",    255,     129.654,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 18/05/2010,"",    255,     129.659,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/05/2010,"",    255,     129.656,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/05/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/05/2010,"",    255,     129.662,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/05/2010,"",    255,     129.662,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/05/2010,"",    255,     129.645,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/05/2010,"",    255,     129.640,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/05/2010,"",    255,     129.638,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/05/2010,"",    255,     129.625,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/05/2010,"",    255,     129.616,      3,"",    255,"",    255,"",    255,"",    255
